func,noise,M,lam,cv,test
cos x,равномерный,4,0.31622776601683794,0.42374260417261284,0.32723451156557953
cos x,равномерный,4,1.0,0.40596650593370043,0.4081650509505017
cos x,равномерный,4,3.1622776601683795,0.47868828752382325,0.5217088867542168
cos x,равномерный,4,10.0,0.5722240680244488,0.6444182165256318
cos x,равномерный,4,31.622776601683793,0.6278733103110185,0.7199027080934287
cos x,равномерный,4,100.0,0.6519507253623928,0.751769163398062
cos x,равномерный,5,0.0,0.2298687106922709,0.18903226829669448
cos x,равномерный,5,1e-10,0.22986870112543648,0.18903226825642802
cos x,равномерный,5,3.1622776601683795e-10,0.229868680439266,0.1890322681693603
cos x,равномерный,5,1e-09,0.22986861502390807,0.18903226789402874
cos x,равномерный,5,3.1622776601683795e-09,0.22986840816300913,0.18903226702335413
cos x,равномерный,5,1e-08,0.22986775401729287,0.18903226427004205
cos x,равномерный,5,3.162277660168379e-08,0.2298656854863105,0.1890322555633352
cos x,равномерный,5,1e-07,0.2298591448105693,0.18903222803061845
cos x,равномерный,5,3.162277660168379e-07,0.22983846731343274,0.1890321409675967
cos x,равномерный,5,1e-06,0.2297731386750456,0.1890318656808803
cos x,равномерный,5,3.162277660168379e-06,0.22956714463194375,0.1890309954551428
cos x,равномерный,5,1e-05,0.2289216595692131,0.189028246631814
cos x,равномерный,5,3.1622776601683795e-05,0.2269395131411759,0.189019584782256
cos x,равномерный,5,0.0001,0.22125880926786629,0.18899249966524528
cos x,равномерный,5,0.00031622776601683794,0.20929961293106786,0.18890988227308195
cos x,равномерный,5,0.001,0.2189737577327298,0.18867812521754027
cos x,равномерный,5,0.0031622776601683794,0.2771282320354481,0.18821670227962495
cos x,равномерный,5,0.01,0.3488095765782206,0.18889848372773632
cos x,равномерный,5,0.03162277660168379,0.41129977235587206,0.2019139733778736
cos x,равномерный,5,0.1,0.442442756443097,0.2520475193080998
cos x,равномерный,5,0.31622776601683794,0.4278790793623699,0.3271295109514019
